timestamp,elapsed_sec,up_bid,up_ask,down_bid,down_ask,up_spread,down_spread,btc_price
1775853667.003,67.003,0.69,0.71,0.29,0.31,0.02,0.02,73142.09
1775853667.491,67.491,0.68,0.7,0.3,0.31,0.02,0.01,73142.09
1775853667.831,67.831,0.69,0.7,0.3,0.31,0.01,0.01,73147.12
1775853668.181,68.181,0.69,0.7,0.3,0.31,0.01,0.01,73147.12
1775853668.565,68.565,0.69,0.7,0.3,0.31,0.01,0.01,73147.17
1775853668.91,68.91,0.68,0.69,0.31,0.32,0.01,0.01,73147.17
1775853669.255,69.255,0.68,0.69,0.31,0.32,0.01,0.01,73147.17
1775853669.593,69.593,0.68,0.69,0.31,0.32,0.01,0.01,73147.17
1775853669.928,69.928,0.68,0.69,0.31,0.32,0.01,0.01,73141.88
1775853670.328,70.328,0.68,0.69,0.31,0.32,0.01,0.01,73141.88
1775853670.689,70.689,0.68,0.69,0.31,0.32,0.01,0.01,73141.91
1775853671.195,71.195,0.67,0.68,0.31,0.33,0.01,0.02,73142.07
1775853671.57,71.57,0.67,0.68,0.32,0.33,0.01,0.01,73142.07
1775853672.013,72.013,0.67,0.68,0.32,0.33,0.01,0.01,73142.07
1775853672.351,72.351,0.65,0.68,0.32,0.33,0.03,0.01,73142.07
1775853672.698,72.698,0.67,0.68,0.32,0.33,0.01,0.01,73141.78
1775853673.288,73.288,0.67,0.68,0.32,0.33,0.01,0.01,73141.51
1775853673.763,73.763,0.67,0.68,0.32,0.33,0.01,0.01,73141.51
1775853674.248,74.248,0.67,0.68,0.32,0.33,0.01,0.01,73141.51
1775853674.658,74.658,0.67,0.68,0.32,0.33,0.01,0.01,73141.1
1775853675.256,75.256,0.66,0.67,0.32,0.34,0.01,0.02,73141.1
1775853675.594,75.594,0.67,0.7,0.3,0.34,0.03,0.04,73141.19
1775853675.932,75.932,0.68,0.69,0.31,0.32,0.01,0.01,73141.19
1775853676.277,76.277,0.68,0.69,0.31,0.32,0.01,0.01,73141.75
1775853676.647,76.647,0.69,0.7,0.3,0.31,0.01,0.01,73141.75
1775853677.467,77.467,0.62,0.63,0.3,0.39,0.01,0.09,73141.75
1775853677.865,77.865,0.63,0.64,0.36,0.37,0.01,0.01,73141.75
1775853678.202,78.202,0.63,0.64,0.36,0.37,0.01,0.01,73141.75
1775853678.551,78.551,0.63,0.64,0.36,0.37,0.01,0.01,73141.83
1775853678.907,78.907,0.63,0.64,0.36,0.37,0.01,0.01,73141.83
1775853679.366,79.366,0.63,0.64,0.36,0.37,0.01,0.01,73141.83
1775853679.76,79.76,0.63,0.64,0.36,0.37,0.01,0.01,73141.83
1775853680.105,80.105,0.63,0.64,0.36,0.37,0.01,0.01,73141.86
1775853680.449,80.449,0.63,0.64,0.36,0.37,0.01,0.01,73141.86
1775853680.941,80.941,0.63,0.64,0.36,0.37,0.01,0.01,73141.86
1775853681.656,81.656,0.63,0.64,0.36,0.37,0.01,0.01,73141.85
1775853682.04,82.04,0.63,0.64,0.36,0.37,0.01,0.01,73141.85
1775853682.507,82.507,0.63,0.64,0.36,0.37,0.01,0.01,73141.85
1775853682.926,82.926,0.63,0.64,0.36,0.37,0.01,0.01,73141.85
1775853683.346,83.346,0.63,0.65,0.36,0.37,0.02,0.01,73141.85
1775853684.03,84.03,0.64,0.65,0.35,0.36,0.01,0.01,73141.85
1775853684.829,84.829,0.64,0.65,0.35,0.36,0.01,0.01,73141.88
1775853685.193,85.193,0.65,0.66,0.34,0.35,0.01,0.01,73141.88
1775853685.74,85.74,0.65,0.66,0.34,0.35,0.01,0.01,73141.88
1775853686.288,86.288,0.65,0.66,0.34,0.35,0.01,0.01,73141.88
1775853686.761,86.761,0.65,0.66,0.34,0.35,0.01,0.01,73141.54
1775853687.199,87.199,0.65,0.66,0.34,0.35,0.01,0.01,73141.55
1775853687.843,87.843,0.65,0.66,0.34,0.35,0.01,0.01,73141.55
1775853688.211,88.211,0.65,0.67,0.34,0.35,0.02,0.01,73141.55
1775853689.515,89.515,0.66,0.67,0.33,0.34,0.01,0.01,73141.18
1775853689.975,89.975,0.66,0.67,0.33,0.34,0.01,0.01,73141.18
1775853690.453,90.453,0.66,0.67,0.33,0.34,0.01,0.01,73141.18
1775853690.911,90.911,0.66,0.67,0.33,0.34,0.01,0.01,73141.18
1775853691.312,91.312,0.66,0.67,0.33,0.34,0.01,0.01,73141.18
1775853692.059,92.059,0.66,0.67,0.33,0.34,0.01,0.01,73141.18
1775853692.396,92.396,0.66,0.67,0.33,0.34,0.01,0.01,73141.16
1775853693.234,93.234,0.66,0.67,0.33,0.34,0.01,0.01,73141.16
1775853693.593,93.593,0.63,0.67,0.33,0.34,0.04,0.01,73141.16
1775853693.961,93.961,0.63,0.64,0.36,0.37,0.01,0.01,73141.16
1775853694.672,94.672,0.63,0.64,0.36,0.37,0.01,0.01,73141.16
1775853695.02,95.02,0.63,0.64,0.36,0.37,0.01,0.01,73141.16
1775853695.753,95.753,0.63,0.64,0.36,0.37,0.01,0.01,73141.16
1775853696.221,96.221,0.63,0.64,0.36,0.37,0.01,0.01,73138.95
1775853696.596,96.596,0.63,0.64,0.36,0.37,0.01,0.01,73138.95
1775853697.478,97.478,0.63,0.64,0.36,0.37,0.01,0.01,73137.99
1775853697.976,97.976,0.63,0.64,0.36,0.37,0.01,0.01,73137.99
1775853698.462,98.462,0.63,0.64,0.36,0.37,0.01,0.01,73137.93
1775853699.195,99.195,0.63,0.64,0.36,0.37,0.01,0.01,73137.96
1775853699.71,99.71,0.63,0.64,0.36,0.37,0.01,0.01,73137.96
1775853700.272,100.272,0.63,0.64,0.36,0.37,0.01,0.01,73139.02
1775853701.035,101.035,0.64,0.65,0.35,0.36,0.01,0.01,73139.03
1775853701.582,101.582,0.64,0.65,0.35,0.36,0.01,0.01,73139.03
1775853702.538,102.538,0.64,0.65,0.35,0.36,0.01,0.01,73139.31
1775853703.155,103.155,0.64,0.65,0.35,0.36,0.01,0.01,73139.33
1775853703.499,103.499,0.64,0.65,0.35,0.36,0.01,0.01,73139.33
1775853703.862,103.862,0.64,0.65,0.35,0.36,0.01,0.01,73139.33
1775853704.449,104.449,0.64,0.65,0.35,0.36,0.01,0.01,73139.25
1775853704.807,104.807,0.64,0.65,0.35,0.36,0.01,0.01,73139.25
1775853705.454,105.454,0.64,0.65,0.35,0.36,0.01,0.01,73139.25
1775853706.031,106.031,0.64,0.65,0.35,0.36,0.01,0.01,73139.2
1775853706.643,106.643,0.65,0.66,0.34,0.36,0.01,0.02,73139.2
1775853708.617,108.617,0.65,0.66,0.34,0.35,0.01,0.01,73138.84
1775853708.974,108.974,0.65,0.66,0.34,0.35,0.01,0.01,73138.84
1775853709.524,109.524,0.65,0.66,0.34,0.35,0.01,0.01,73138.84
1775853710.48,110.48,0.65,0.66,0.34,0.35,0.01,0.01,73138.83
1775853710.984,110.984,0.65,0.66,0.34,0.35,0.01,0.01,73138.83
1775853711.349,111.349,0.65,0.66,0.34,0.35,0.01,0.01,73138.83
1775853711.854,111.854,0.65,0.67,0.34,0.35,0.02,0.01,73138.83
1775853712.504,112.504,0.67,0.68,0.33,0.34,0.01,0.01,73138.83
1775853712.851,112.851,0.67,0.68,0.32,0.33,0.01,0.01,73138.83
1775853713.351,113.351,0.67,0.68,0.32,0.33,0.01,0.01,73138.81
1775853713.73,113.73,0.67,0.68,0.32,0.33,0.01,0.01,73138.81
1775853714.361,114.361,0.67,0.68,0.32,0.33,0.01,0.01,73138.81
1775853714.814,114.814,0.67,0.68,0.32,0.33,0.01,0.01,73138.81
1775853715.168,115.168,0.68,0.69,0.31,0.32,0.01,0.01,73138.81
1775853715.579,115.579,0.68,0.69,0.31,0.32,0.01,0.01,73138.81
1775853716.49,116.49,0.68,0.69,0.31,0.32,0.01,0.01,73138.81
1775853717.319,117.319,0.68,0.69,0.31,0.32,0.01,0.01,73138.81
1775853717.834,117.834,0.68,0.69,0.31,0.32,0.01,0.01,73138.89
1775853718.89,118.89,0.68,0.69,0.31,0.32,0.01,0.01,73138.89
1775853719.253,119.253,0.68,0.69,0.31,0.32,0.01,0.01,73138.89
1775853720.161,120.161,0.68,0.69,0.31,0.32,0.01,0.01,73138.89
1775853720.54,120.54,0.69,0.7,0.3,0.32,0.01,0.02,73136.84
1775853720.96,120.96,0.69,0.7,0.3,0.31,0.01,0.01,73136.84
1775853721.345,121.345,0.69,0.7,0.3,0.31,0.01,0.01,73136.84
1775853721.707,121.707,0.68,0.69,0.3,0.31,0.01,0.01,73136.84
1775853722.649,122.649,0.69,0.7,0.3,0.32,0.01,0.02,73137.13
1775853722.999,122.999,0.69,0.7,0.3,0.31,0.01,0.01,73137.13
1775853723.898,123.898,0.69,0.7,0.3,0.31,0.01,0.01,73137.13
1775853724.791,124.791,0.69,0.7,0.3,0.31,0.01,0.01,73137.07
1775853725.144,125.144,0.69,0.71,0.3,0.31,0.02,0.01,73137.07
1775853725.503,125.503,0.7,0.71,0.29,0.3,0.01,0.01,73137.06
1775853725.944,125.944,0.7,0.71,0.29,0.3,0.01,0.01,73137.06
1775853726.279,126.279,0.7,0.72,0.29,0.3,0.02,0.01,73137.15
1775853726.829,126.829,0.71,0.72,0.28,0.29,0.01,0.01,73137.15
1775853727.246,127.246,0.71,0.72,0.29,0.3,0.01,0.01,73137.15
1775853727.727,127.727,0.71,0.72,0.28,0.29,0.01,0.01,73137.24
1775853728.154,128.154,0.71,0.72,0.28,0.29,0.01,0.01,73137.24
1775853728.528,128.528,0.7,0.71,0.29,0.3,0.01,0.01,73137.24
1775853728.9,128.9,0.7,0.71,0.29,0.3,0.01,0.01,73137.24
1775853729.287,129.287,0.7,0.71,0.29,0.3,0.01,0.01,73137.24
1775853729.675,129.675,0.7,0.71,0.29,0.3,0.01,0.01,73137.24
1775853730.173,130.173,0.7,0.71,0.29,0.3,0.01,0.01,73137.24
1775853730.573,130.573,0.71,0.72,0.29,0.3,0.01,0.01,73137.17
1775853730.906,130.906,0.71,0.72,0.28,0.29,0.01,0.01,73137.17
1775853731.407,131.407,0.71,0.72,0.28,0.29,0.01,0.01,73137.19
1775853731.836,131.836,0.71,0.72,0.28,0.29,0.01,0.01,73137.19
1775853732.217,132.217,0.69,0.7,0.3,0.31,0.01,0.01,73137.19
1775853732.768,132.768,0.69,0.7,0.3,0.31,0.01,0.01,73137.22
1775853733.178,133.178,0.69,0.7,0.3,0.31,0.01,0.01,73137.91
1775853733.995,133.995,0.69,0.7,0.3,0.31,0.01,0.01,73137.91
1775853734.375,134.375,0.69,0.7,0.3,0.31,0.01,0.01,73137.42
1775853734.904,134.904,0.69,0.7,0.3,0.31,0.01,0.01,73137.42
1775853735.811,135.811,0.7,0.71,0.29,0.31,0.01,0.02,73137.45
1775853736.183,136.183,0.7,0.71,0.29,0.3,0.01,0.01,73137.45
1775853736.686,136.686,0.7,0.71,0.29,0.3,0.01,0.01,73137.41
1775853737.161,137.161,0.7,0.72,0.29,0.3,0.02,0.01,73137.4
1775853738.535,138.535,0.7,0.71,0.28,0.29,0.01,0.01,73137.4
1775853739.43,139.43,0.7,0.71,0.29,0.3,0.01,0.01,73137.4
1775853739.805,139.805,0.7,0.72,0.29,0.3,0.02,0.01,73137.4
1775853740.311,140.311,0.71,0.72,0.28,0.29,0.01,0.01,73137.4
1775853740.842,140.842,0.71,0.72,0.28,0.29,0.01,0.01,73137.4
1775853741.706,141.706,0.71,0.72,0.28,0.29,0.01,0.01,73137.25
1775853742.174,142.174,0.71,0.72,0.28,0.29,0.01,0.01,73137.25
1775853742.546,142.546,0.72,0.73,0.27,0.3,0.01,0.03,73137.28
1775853743.346,143.346,0.72,0.73,0.27,0.28,0.01,0.01,73137.27
1775853743.741,143.741,0.72,0.73,0.27,0.28,0.01,0.01,73137.27
1775853744.576,144.576,0.72,0.73,0.27,0.28,0.01,0.01,73137.27
1775853745.268,145.268,0.72,0.73,0.27,0.28,0.01,0.01,73137.26
1775853746.007,146.007,0.72,0.73,0.27,0.28,0.01,0.01,73137.26
1775853746.774,146.774,0.72,0.73,0.27,0.28,0.01,0.01,73137.28
1775853747.257,147.257,0.72,0.73,0.27,0.28,0.01,0.01,73137.3
1775853747.884,147.884,0.73,0.75,0.26,0.27,0.02,0.01,73137.3
1775853748.243,148.243,0.74,0.75,0.25,0.26,0.01,0.01,73137.3
1775853748.657,148.657,0.74,0.75,0.25,0.26,0.01,0.01,73137.31
1775853749.039,149.039,0.74,0.75,0.25,0.26,0.01,0.01,73137.31
1775853749.682,149.682,0.75,0.76,0.24,0.25,0.01,0.01,73138.03
1775853750.019,150.019,0.79,0.8,0.2,0.21,0.01,0.01,73138.03
1775853750.462,150.462,0.8,0.81,0.19,0.2,0.01,0.01,73138.03
1775853750.807,150.807,0.8,0.81,0.19,0.2,0.01,0.01,73138.03
1775853751.205,151.205,0.8,0.81,0.19,0.2,0.01,0.01,73140.09
1775853751.841,151.841,0.8,0.81,0.19,0.2,0.01,0.01,73140.09
1775853752.341,152.341,0.8,0.81,0.19,0.2,0.01,0.01,73144.68
1775853753.126,153.126,0.81,0.82,0.19,0.2,0.01,0.01,73144.68
1775853753.557,153.557,0.84,0.85,0.15,0.16,0.01,0.01,73144.67
1775853753.919,153.919,0.85,0.86,0.14,0.15,0.01,0.01,73144.67
1775853754.302,154.302,0.85,0.86,0.14,0.15,0.01,0.01,73144.67
1775853754.717,154.717,0.85,0.86,0.14,0.15,0.01,0.01,73144.67
1775853755.241,155.241,0.85,0.86,0.14,0.15,0.01,0.01,73144.67
1775853755.652,155.652,0.87,0.89,0.12,0.15,0.02,0.03,73144.88
1775853755.988,155.988,0.9,0.91,0.08,0.09,0.01,0.01,73144.88
1775853756.33,156.33,0.91,0.92,0.08,0.09,0.01,0.01,73144.88
1775853756.683,156.683,0.91,0.93,0.07,0.09,0.02,0.02,73148.36
1775853757.018,157.018,0.92,0.93,0.07,0.08,0.01,0.01,73151.68
1775853757.393,157.393,0.92,0.93,0.07,0.08,0.01,0.01,73151.68
1775853757.773,157.773,0.92,0.93,0.07,0.08,0.01,0.01,73151.68
1775853758.16,158.16,0.92,0.93,0.07,0.08,0.01,0.01,73151.68
1775853758.557,158.557,0.91,0.92,0.08,0.09,0.01,0.01,73169.71
1775853758.933,158.933,0.89,0.9,0.1,0.11,0.01,0.01,73169.71
1775853759.268,159.268,0.89,0.9,0.1,0.11,0.01,0.01,73169.71
1775853759.613,159.613,0.88,0.89,0.11,0.12,0.01,0.01,73169.71
1775853759.979,159.979,0.88,0.89,0.11,0.12,0.01,0.01,73171.07
1775853760.362,160.362,0.88,0.89,0.11,0.12,0.01,0.01,73171.07
1775853760.704,160.704,0.88,0.9,0.11,0.12,0.02,0.01,73169.99
1775853761.066,161.066,0.89,0.9,0.1,0.11,0.01,0.01,73169.99
1775853761.535,161.535,0.89,0.9,0.1,0.11,0.01,0.01,73166.97
1775853761.919,161.919,0.88,0.9,0.1,0.12,0.02,0.02,73166.97
1775853762.271,162.271,0.88,0.89,0.11,0.12,0.01,0.01,73165.39
1775853762.611,162.611,0.88,0.89,0.11,0.12,0.01,0.01,73165.39
1775853763.03,163.03,0.89,0.9,0.1,0.12,0.01,0.02,73165.39
